wall_time_s,sim_time_s,x_m,y_m,yaw_rad,cmd_in_v_mps,cmd_in_w_radps,cmd_out_v_mps,cmd_out_w_radps,status,min_scan_m,collision
0.096623,1.300000,0.035097,-0.000029,0.000056,0.350000,-0.000069,0.350000,-0.000069,0,2.804007,0
0.178181,1.400000,0.063092,-0.000036,0.000051,0.350000,-0.000050,0.350000,-0.000069,0,2.768944,0
0.261279,1.500000,0.091080,-0.000068,0.000039,0.350000,-0.000000,0.350000,-0.000050,0,2.733999,0
0.347337,1.500000,0.119074,-0.000071,0.000038,0.350000,-0.000000,0.350000,-0.000000,0,2.716064,0
0.428437,1.600000,0.147066,-0.000105,0.000032,0.350000,0.000014,0.350000,0.000014,0,2.681522,0
0.511429,1.700000,0.175065,-0.000139,0.000036,0.350000,0.000058,0.350000,0.000058,0,2.646176,0
0.597717,1.800000,0.210073,-0.000186,0.000059,0.350000,0.000072,0.350000,0.000072,0,2.629016,0
0.681796,1.900000,0.238084,-0.000221,0.000079,0.350000,0.000075,0.350000,0.000072,0,2.594007,0
0.764635,2.000000,0.266089,-0.000219,0.000084,0.350000,0.000063,0.350000,0.000075,0,2.558943,0
0.848687,2.000000,0.294091,-0.000217,0.000090,0.350000,0.000063,0.350000,0.000063,0,2.541074,0
0.931570,2.100000,0.322092,-0.000211,0.000095,0.350000,0.000048,0.350000,0.000048,0,2.506148,0
1.013751,2.200000,0.350091,-0.000210,0.000100,0.350000,0.000030,0.350000,0.000030,0,2.471491,0
1.098241,2.300000,0.385083,-0.000214,0.000106,0.350000,0.000028,0.350000,0.000028,0,2.453996,0
1.181539,2.400000,0.413076,-0.000218,0.000111,0.350000,0.000020,0.350000,0.000028,0,2.418891,0
1.264810,2.500000,0.441070,-0.000218,0.000114,0.350000,0.000013,0.350000,0.000020,0,2.383948,0
1.346505,2.500000,0.469068,-0.000223,0.000117,0.350000,0.000013,0.350000,0.000013,0,2.366076,0
1.428870,2.600000,0.497069,-0.000252,0.000123,0.350000,0.000017,0.350000,0.000017,0,2.331159,0
1.513361,2.700000,0.525076,-0.000288,0.000140,0.350000,0.000033,0.350000,0.000033,0,2.296146,0
1.599293,2.800000,0.560088,-0.000316,0.000155,0.350000,0.000036,0.350000,0.000036,0,2.278988,0
1.681548,2.900000,0.588093,-0.000313,0.000157,0.350000,0.000032,0.350000,0.000036,0,2.243892,0
1.763580,3.000000,0.616095,-0.000309,0.000161,0.350000,0.000021,0.350000,0.000032,0,2.208962,0
1.847037,3.000000,0.644095,-0.000305,0.000164,0.350000,0.000021,0.350000,0.000021,0,2.191129,0
1.932271,3.100000,0.672093,-0.000302,0.000167,0.350000,0.000012,0.350000,0.000012,0,2.156409,0
2.015185,3.200000,0.700084,-0.000316,0.000166,0.350000,0.000008,0.350000,0.000008,0,2.121434,0
2.100038,3.300000,0.735072,-0.000344,0.000158,0.350000,0.000028,0.350000,0.000028,0,2.103947,0
2.180289,3.400000,0.763066,-0.000346,0.000161,0.350000,0.000055,0.350000,0.000028,0,2.068903,0
2.263255,3.500000,0.791064,-0.000348,0.000165,0.350000,0.000049,0.350000,0.000055,0,2.033925,0
2.347702,3.500000,0.819068,-0.000360,0.000173,0.350000,0.000049,0.350000,0.000049,0,2.016082,0
2.431171,3.600000,0.847076,-0.000388,0.000188,0.350000,0.000047,0.350000,0.000047,0,1.981103,0
2.512985,3.700000,0.875086,-0.000412,0.000203,0.350000,0.000044,0.350000,0.000044,0,1.946106,0
2.598601,3.800000,0.910093,-0.000417,0.000208,0.350000,0.000047,0.350000,0.000047,0,1.928854,0
2.682636,3.900000,0.938095,-0.000420,0.000211,0.350000,0.000040,0.350000,0.000047,0,1.893973,0
2.767213,4.000000,0.966094,-0.000412,0.000216,0.350000,0.000026,0.350000,0.000040,0,1.858881,0
2.847911,4.000000,0.994091,-0.000409,0.000220,0.350000,0.000026,0.350000,0.000026,0,1.841120,0
2.932242,4.100000,1.022083,-0.000426,0.000218,0.350000,0.000014,0.350000,0.000014,0,1.806074,0
3.015445,4.200000,1.050072,-0.000448,0.000212,0.350000,0.000047,0.350000,0.000047,0,1.771086,0
3.100671,4.300000,1.085061,-0.000487,0.000205,0.350000,0.000096,0.350000,0.000096,0,1.753987,0
3.185604,4.400000,1.113059,-0.000516,0.000214,0.350000,0.000121,0.350000,0.000096,0,1.718990,0
3.267135,4.500000,1.141064,-0.000547,0.000234,0.350000,0.000118,0.350000,0.000121,0,1.683986,0
3.349569,4.500000,1.169074,-0.000585,0.000262,0.350000,0.000118,0.350000,0.000118,0,1.666129,0
3.434011,4.600000,1.197081,-0.000586,0.000270,0.350000,0.000103,0.350000,0.000103,0,1.631115,0
3.517699,4.700000,1.225085,-0.000578,0.000278,0.350000,0.000087,0.350000,0.000087,0,1.595969,0
3.601835,4.800000,1.260086,-0.000568,0.000287,0.350000,0.000062,0.350000,0.000062,0,1.578928,0
3.684048,4.900000,1.288084,-0.000557,0.000293,0.350000,0.000038,0.350000,0.000062,0,1.543965,0
3.764519,5.000000,1.316079,-0.000557,0.000297,0.350000,0.000025,0.350000,0.000038,0,1.508581,0
3.849796,5.000000,1.344068,-0.000573,0.000294,0.350000,0.000025,0.350000,0.000025,0,1.491092,0
3.933883,5.100000,1.372059,-0.000584,0.000292,0.350000,0.000059,0.350000,0.000059,0,1.456081,0
4.017988,5.200000,1.400054,-0.000596,0.000297,0.350000,0.000053,0.350000,0.000053,0,1.421079,0
4.103548,5.300000,1.435053,-0.000628,0.000306,0.350000,0.000072,0.350000,0.000072,0,1.403986,0
4.185792,5.400000,1.463059,-0.000659,0.000325,0.350000,0.000073,0.350000,0.000072,0,1.368983,0
4.267891,5.500000,1.491070,-0.000694,0.000350,0.350000,0.000065,0.350000,0.000073,0,1.333962,0
4.351945,5.500000,1.519077,-0.000696,0.000357,0.350000,0.000065,0.350000,0.000065,0,1.316416,0
4.434869,5.600000,1.547122,-0.000691,-0.001720,0.350000,0.000051,0.350000,-0.124938,1,1.281052,0
4.601174,5.800000,1.610350,-0.001918,-0.040580,0.350000,0.009381,0.350000,-0.250000,1,1.228688,0
4.685005,5.900000,1.638071,-0.003361,-0.060667,0.350000,0.017034,0.350000,-0.250000,1,1.194241,0
4.768483,6.000000,1.665678,-0.005359,-0.081178,0.350000,0.024916,0.350000,-0.250000,1,1.160135,0
4.852240,6.000000,1.693230,-0.007913,-0.101709,0.350000,0.024916,0.350000,-0.250000,1,1.142853,0
4.934540,6.100000,1.720728,-0.011024,-0.122234,0.350000,0.032959,0.350000,-0.250000,1,1.109167,0
5.018295,6.200000,1.748161,-0.014694,-0.142756,0.350000,0.041092,0.350000,-0.250000,1,1.075713,0
5.103139,6.300000,1.782392,-0.020081,-0.168458,0.350000,0.049314,0.350000,-0.250000,1,1.059452,0
5.186270,6.400000,1.809673,-0.025030,-0.188976,0.350000,0.057647,0.350000,-0.250000,1,1.026089,0
5.268517,6.500000,1.836975,-0.030561,-0.208732,0.350000,0.065829,0.350000,-0.250000,1,0.993454,0
5.351378,6.500000,1.864014,-0.036613,-0.229207,0.350000,0.065829,0.350000,-0.250000,1,0.977377,0
5.435424,6.600000,1.890907,-0.043216,-0.249700,0.350000,0.074312,0.350000,-0.250000,1,0.945523,0
5.518084,6.700000,1.917785,-0.050379,-0.269356,0.350000,0.082759,0.349032,-0.250000,1,0.913923,0
5.603031,6.800000,1.951063,-0.060026,-0.293947,0.350000,0.091135,0.346023,-0.250000,1,0.898667,0
5.686436,6.900000,1.977494,-0.068319,-0.313655,0.350000,0.099547,0.346352,-0.250000,1,0.869008,0
5.769973,7.000000,2.003493,-0.077078,-0.333807,0.350000,0.108235,0.343065,-0.250000,1,0.840605,0
5.850512,7.000000,2.029239,-0.086320,-0.354336,0.350000,0.108235,0.341622,-0.250000,1,0.825587,0
5.934323,7.100000,2.054692,-0.096059,-0.375152,0.350000,0.117178,0.341761,-0.250000,1,0.798500,0
6.016727,7.200000,2.079662,-0.106225,-0.395695,0.350000,0.126243,0.339978,-0.229167,1,0.772702,0
6.103444,7.300000,2.110462,-0.119556,-0.419312,0.350000,0.134957,0.338134,-0.229167,1,0.761449,0
6.186167,7.400000,2.134767,-0.130687,-0.438106,0.350000,0.143450,0.336634,-0.229167,1,0.737629,0
6.269552,7.500000,2.158747,-0.142219,-0.456868,0.350000,0.151994,0.335931,-0.229167,1,0.714444,0
6.353554,7.500000,2.182431,-0.154149,-0.475616,0.350000,0.151994,0.333706,-0.229167,1,0.704535,0
6.436548,7.600000,2.205789,-0.166475,-0.494347,0.350000,0.160595,0.333445,-0.229167,1,0.686698,0
6.516742,7.700000,2.228870,-0.179226,-0.513080,0.350000,0.169258,0.331988,-0.229167,1,0.667413,0
6.600051,7.800000,2.257328,-0.195739,-0.536320,0.350000,0.177990,0.329958,-0.229167,1,0.658209,0
6.686680,7.900000,2.279967,-0.209507,-0.554381,0.350000,0.186590,0.329396,-0.229167,1,0.643840,0
6.769264,8.000000,2.302304,-0.223653,-0.572593,0.350000,0.195000,0.328143,-0.229167,1,0.630526,0
6.853982,8.000000,2.324268,-0.238127,-0.590664,0.350000,0.195000,0.327160,-0.229167,1,0.625750,0
6.937108,8.100000,2.345858,-0.252907,-0.608633,0.350000,0.195000,0.326863,-0.229167,1,0.619917,0
7.020899,8.200000,2.367003,-0.267968,-0.627229,0.350000,0.195000,0.326372,-0.229167,1,0.611225,0
7.103406,8.300000,2.392863,-0.287213,-0.650688,0.350000,0.195000,0.324994,-0.109826,1,0.607919,0
7.187071,8.400000,2.413745,-0.303305,-0.658687,0.350000,0.195000,0.324156,0.000000,1,0.602522,0
7.269673,8.500000,2.434199,-0.319185,-0.658719,0.350000,0.195000,0.323703,0.020833,1,0.595704,0
7.350585,8.500000,2.454631,-0.335019,-0.657081,0.350000,0.195000,0.321803,0.041667,1,0.596503,0
7.435879,8.600000,2.475032,-0.350763,-0.653789,0.350000,0.195000,0.320250,0.062500,1,0.590061,0
7.520763,8.700000,2.500543,-0.370254,-0.646996,0.350000,0.195000,0.319200,0.083333,1,0.583273,0
7.603927,8.800000,2.520927,-0.385584,-0.640337,0.350000,0.195000,0.317741,0.104167,1,0.584058,0
7.685949,8.900000,2.541320,-0.400676,-0.632039,0.350000,0.195000,0.317244,0.104167,1,0.579702,0
7.770500,9.000000,2.561722,-0.415489,-0.622369,0.350000,0.195000,0.315667,0.125000,1,0.579153,0
7.852347,9.000000,2.582193,-0.430023,-0.611444,0.350000,0.195000,0.315406,0.145833,1,0.579680,0
7.936211,9.100000,2.602775,-0.444274,-0.599822,0.350000,0.195000,0.314927,0.145833,1,0.577611,0
8.020283,9.200000,2.623488,-0.458267,-0.587430,0.350000,0.195000,0.313207,0.166667,1,0.576443,0
8.104805,9.300000,2.649474,-0.475269,-0.570859,0.350000,0.195000,0.312989,0.166667,1,0.577192,0
